ANOVA,analysis of variance
Pearson,Pearson's correlation,Pearson's r,Pearson product-moment correlation,Pearson product moment correlation
Spearman,Spearman's correlation,Spearman's Rank-Order Correlation
Correlation,R square,R squared,R 2 adjusted
Linear regression,Regression analysis,Ordinary least squares regression
Multiple regression,Multiple Linear Regression
Logistic regression
t-test
U test,Mann-Whitney
Kappa,Kendall Tau,Bland Altman,Youden J
Kruskal-Wallis test
ANCOVA,Analysis of covariance
Wilcoxon Signed-Ranks test
Dum's test,Dum test
MANOVA,multivariate Analysis of variance
Mantel Haenszel
